# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 1)               |                            uart_write_wakeup() {
 1)               |                              tty_port_tty_wakeup() {
 1)               |                                tty_port_default_wakeup() {
 1)   4.720 us    |                                  _raw_spin_lock_irqsave();
 1)   5.136 us    |                                  _raw_spin_unlock_irqrestore();
 1)               |                                  tty_wakeup() {
 1)               |                                    __wake_up() {
 1)               |                                      __wake_up_common_lock() {
 1)   7.904 us    |                                        _raw_spin_lock_irqsave();
 1)               |                                        __wake_up_common() {
 1)               |                                          woken_wake_function() {
 1)               |                                            default_wake_function() {
 1) + 14.784 us   |                                              try_to_wake_up();
 1) + 52.656 us   |                                            }
 1) + 62.320 us   |                                          }
 1) + 73.312 us   |                                        }
 1)   5.888 us    |                                        _raw_spin_unlock_irqrestore();
 1) ! 280.384 us  |                                      }
 1) ! 289.760 us  |                                    }
 1) ! 299.728 us  |                                  }
 1) + 12.096 us   |                                  tty_kref_put();
 1) ! 348.880 us  |                                }
 1) ! 358.928 us  |                              }
 1) ! 373.568 us  |                            }
 1)   7.328 us    |                            pl011_stop_tx();
 1) ! 454.880 us  |                          }
 1) ! 464.768 us  |                        }
 1) ! 476.176 us  |                      }
 1)               |                      _raw_spin_unlock_irqrestore() {
 1)   ==========> |
 1)               |                        gic_handle_irq() {
 1)               |                          __handle_domain_irq() {
 1)               |                            irq_enter() {
 1)   5.696 us    |                              rcu_irq_enter();
 1)   6.720 us    |                              irqtime_account_irq();
 1) + 26.944 us   |                            }
 1)   5.056 us    |                            irq_find_mapping();
 1)               |                            handle_percpu_devid_irq() {
 1)               |                              arch_timer_handler_virt() {
 1)               |                                hrtimer_interrupt() {
 1)   4.672 us    |                                  _raw_spin_lock_irqsave();
 1)               |                                  ktime_get_update_offsets_now() {
 1)   4.720 us    |                                    arch_counter_read();
 1) + 14.464 us   |                                  }
 1)               |                                  __hrtimer_run_queues() {
 1)   4.736 us    |                                    _raw_spin_unlock_irqrestore();
 1)               |                                    tick_sched_timer() {
 1)               |                                      ktime_get() {
 1)   4.528 us    |                                        arch_counter_read();
 1) + 13.536 us   |                                      }
 1)               |                                      tick_sched_do_timer() {
 1)               |                                        tick_do_update_jiffies64.part.0() {
 1)   5.216 us    |                                          _raw_spin_lock();
 1)               |                                          do_timer() {
 1)   4.544 us    |                                            calc_global_load();
 1) + 14.464 us   |                                          }
 1)   4.928 us    |                                          _raw_spin_unlock();
 1)               |                                          update_wall_time() {
 1)               |                                            timekeeping_advance() {
 1)   4.384 us    |                                              _raw_spin_lock_irqsave();
 1)   4.928 us    |                                              arch_counter_read();
 1)   5.024 us    |                                              ntp_tick_length();
 1)   4.624 us    |                                              ntp_tick_length();
 1)               |                                              timekeeping_update() {
 1)   4.576 us    |                                                ntp_get_next_leap();
 1)   6.208 us    |                                                update_vsyscall();
 1)   4.912 us    |                                                raw_notifier_call_chain();
 1) + 35.040 us   |                                              }
 1)   4.912 us    |                                              _raw_spin_unlock_irqrestore();
 1) + 93.872 us   |                                            }
 1) ! 103.184 us  |                                          }
 1) ! 152.656 us  |                                        }
 1) ! 162.000 us  |                                      }
 1)               |                                      tick_sched_handle() {
 1)               |                                        update_process_times() {
 1)               |                                          account_process_tick() {
 1)               |                                            irqtime_account_process_tick() {
 1)               |                                              account_system_index_time() {
 1)               |                                                cpuacct_account_field() {
 1)   4.400 us    |                                                  __rcu_read_lock();
 1)   5.024 us    |                                                  __rcu_read_unlock();
 1) + 23.888 us   |                                                }
 1)   4.688 us    |                                                __rcu_read_lock();
 1)   4.656 us    |                                                __rcu_read_unlock();
 1)   7.328 us    |                                                acct_account_cputime();
 1) + 64.000 us   |                                              }
 1) + 74.032 us   |                                            }
 1) + 83.584 us   |                                          }
 1)               |                                          run_local_timers() {
 1)   4.560 us    |                                            hrtimer_run_queues();
 1)               |                                            raise_softirq() {
 1)   4.864 us    |                                              __raise_softirq_irqoff();
 1) + 14.592 us   |                                            }
 1) + 32.864 us   |                                          }
 1)               |                                          rcu_sched_clock_irq() {
 1)   4.992 us    |                                            rcu_segcblist_ready_cbs();
 1) + 17.200 us   |                                          }
 1)               |                                          scheduler_tick() {
 1)   4.704 us    |                                            _raw_spin_lock();
 1)               |                                            update_rq_clock.part.0() {
 1)   5.504 us    |                                              update_irq_load_avg();
 1) + 16.304 us   |                                            }
 1)               |                                            task_tick_fair() {
 1)               |                                              update_curr() {
 1)   4.704 us    |                                                update_min_vruntime();
 1)               |                                                cpuacct_charge() {
 1)   4.352 us    |                                                  __rcu_read_lock();
 1)   4.784 us    |                                                  __rcu_read_unlock();
 1) + 23.248 us   |                                                }
 1)   4.512 us    |                                                __rcu_read_lock();
 1)   4.624 us    |                                                __rcu_read_unlock();
 1) + 61.040 us   |                                              }
 1)   6.032 us    |                                              __update_load_avg_se();
 1)   6.000 us    |                                              __update_load_avg_cfs_rq();
 1)   5.168 us    |                                              update_cfs_group();
 1)   5.568 us    |                                              hrtimer_active();
 1)               |                                              update_curr() {
 1)   4.528 us    |                                                update_min_vruntime();
 1) + 14.144 us   |                                              }
 1)   5.184 us    |                                              __update_load_avg_se();
 1)   5.040 us    |                                              __update_load_avg_cfs_rq();
 1)               |                                              update_cfs_group() {
 1)               |                                                reweight_entity() {
 1)   5.648 us    |                                                  update_curr();
 1)   5.920 us    |                                                  account_entity_dequeue();
 1)   4.944 us    |                                                  account_entity_enqueue();
 1) ! 116.096 us  |                                                }
 1) ! 125.584 us  |                                              }
 1)   4.848 us    |                                              hrtimer_active();
 1) ! 301.696 us  |                                            }
 1)   5.680 us    |                                            calc_global_load_tick();
 1)   4.640 us    |                                            _raw_spin_unlock();
 1)               |                                            trigger_load_balance() {
 1)   4.416 us    |                                              __rcu_read_lock();
 1)   4.944 us    |                                              __rcu_read_unlock();
 1) + 24.768 us   |                                            }
 1) ! 390.640 us  |                                          }
